tag_id,nome,hora_entrada,hora_saida,tempo_cocho,peso_animal,peso_racao,%,
9CD93000E2806A960000401CCB85916B,Rafael,2025-10-06 17:03:22,2025-10-06 17:04:04,0m 41s,-1,300.332,,
9CD93000E2806A960000401CCB85916B,Rafael,2025-10-06 17:12:01,2025-10-06 17:12:41,0m 40s,65.196,390.3,,
9CD93000E2806A960000401CCB85916B,Rafael,2025-10-06 17:13:15,2025-10-06 17:14:12,0m 57s,74.661,329.466,,
9CD93000E2806A960000401CCB85916B,Rafael,2025-10-06 17:21:12,2025-10-06 17:24:50,3m 38s,76.064,373.637,,
9CD93000E2806A960000401CCB85916B,Rafael,2025-10-06 17:24:59,2025-10-06 17:26:04,1m 5s,76.064,373.637,,
9CD93000E2806A960000401CCB85916B,Rafael,2025-10-06 17:33:24,2025-10-06 17:33:50,0m 26s,-1,381.008,,
9CD93000E2806A960000401CCB85916B,Rafael,2025-10-06 17:34:06,2025-10-06 17:34:32,0m 26s,78.067,763.294,,
9CD93000E2806A960000401CCB85916B,Rafael,2025-10-06 17:37:42,2025-10-06 17:38:10,0m 27s,-1,391.374,,
C0343000E2806A960000401CCB755969,24,2025-10-06 17:43:01,2025-10-06 17:44:49,1m 47s,77.102,364.064,,
D4E63000E2806A960000501CCB867555,12,2025-10-06 17:47:21,2025-10-06 17:52:47,5m 25s,73.086,363.947,,
C0343000E2806A960000401CCB755969,24,2025-10-06 17:53:15,2025-10-06 17:53:15,0m 0s,77.102,-2,,
C0343000E2806A960000401CCB755969,24,2025-10-06 17:53:20,2025-10-06 17:53:20,0m 0s,77.102,-2,,
C0343000E2806A960000401CCB755969,24,2025-10-06 17:53:20,2025-10-06 17:53:20,0m 0s,77.102,-2,,
C0343000E2806A960000401CCB755969,24,2025-10-06 17:53:22,2025-10-06 17:53:22,0m 0s,77.102,-2,,
C0343000E2806A960000401CCB755969,24,2025-10-06 17:53:27,2025-10-06 17:53:27,0m 0s,77.102,-2,,
C0343000E2806A960000401CCB755969,24,2025-10-06 17:53:32,2025-10-06 17:53:32,0m 0s,77.102,-2,,
C0343000E2806A960000401CCB755969,24,2025-10-06 17:53:32,2025-10-06 17:53:32,0m 0s,77.102,-2,,
